income,year,access,pcnt
upper-middle,2010,unimproved,6.98
upper-middle,2010,surface,1.53
upper-middle,2011,safe,75.74
upper-middle,2011,basic,15.54
upper-middle,2011,limited,0.88
upper-middle,2011,unimproved,6.43
upper-middle,2011,surface,1.41
upper-middle,2012,safe,76.25
upper-middle,2012,basic,15.67
upper-middle,2012,limited,0.89
upper-middle,2012,unimproved,5.9
upper-middle,2012,surface,1.29
upper-middle,2013,safe,76.78
upper-middle,2013,basic,15.74
upper-middle,2013,limited,0.91
upper-middle,2013,unimproved,5.39
upper-middle,2013,surface,1.18
upper-middle,2014,safe,77.31
upper-middle,2014,basic,15.8
upper-middle,2014,limited,0.92
upper-middle,2014,unimproved,4.9
upper-middle,2014,surface,1.06
upper-middle,2015,safe,77.82
upper-middle,2015,basic,15.86
upper-middle,2015,limited,0.94
upper-middle,2015,unimproved,4.43
upper-middle,2015,surface,0.95
upper-middle,2016,safe,78.31
upper-middle,2016,basic,15.92
upper-middle,2016,limited,0.95
upper-middle,2016,unimproved,3.98
upper-middle,2016,surface,0.85
upper-middle,2017,safe,78.78
upper-middle,2017,basic,15.95
upper-middle,2017,limited,0.96
upper-middle,2017,unimproved,3.48
upper-middle,2017,surface,0.83
upper-middle,2018,safe,79.23
upper-middle,2018,basic,16
upper-middle,2018,limited,0.97
upper-middle,2018,unimproved,3.06
upper-middle,2018,surface,0.74
upper-middle,2019,safe,79.64
upper-middle,2019,basic,16.08
upper-middle,2019,limited,0.98
upper-middle,2019,unimproved,2.67
upper-middle,2019,surface,0.63
upper-middle,2020,safe,80.01
upper-middle,2020,basic,16.18
upper-middle,2020,limited,0.97
upper-middle,2020,unimproved,2.32
upper-middle,2020,surface,0.53
upper-middle,2021,safe,80.35
upper-middle,2021,basic,16.4
upper-middle,2021,limited,0.83
upper-middle,2021,unimproved,1.95
upper-middle,2021,surface,0.47
upper-middle,2022,safe,80.62
upper-middle,2022,basic,16.72
upper-middle,2022,limited,0.61
upper-middle,2022,unimproved,1.58
upper-middle,2022,surface,0.46
